Image Name,Detected Object,Is Pest,Confidence Level
image_00001_output.jpg.jpg,pest,True,73.87%
image_00006_output.jpg.jpg,insect,False,85.59%
image_00009_output.jpg.jpg,insect,False,88.65%
image_00010_output.jpg.jpg,insect,False,87.85%
image_00013_output.jpg.jpg,insect,False,87.68%
image_00014_output.jpg.jpg,insect,False,86.17%
image_00015_output.jpg.jpg,insect,False,88.68%
image_00016_output.jpg.jpg,insect,False,88.38%
image_00020_output.jpg.jpg,insect,False,74.26%
image_00024_output.jpg.jpg,insect,False,84.11%
image_00026_output.jpg.jpg,insect,False,84.77%
image_00027_output.jpg.jpg,insect,False,76.25%
image_00029_output.jpg.jpg,insect,False,73.73%
image_00039_output.jpg.jpg,insect,False,75.23%
image_00040_output.jpg.jpg,insect,False,86.61%
image_00041_output.jpg.jpg,insect,False,88.30%
image_00042_output.jpg.jpg,insect,False,70.12%
image_00043_output.jpg.jpg,insect,False,73.13%
image_00044_output.jpg.jpg,insect,False,87.78%
image_00045_output.jpg.jpg,insect,False,84.91%
image_00047_output.jpg.jpg,insect,False,82.23%
image_00055_output.jpg.jpg,insect,False,75.37%
image_00058_output.jpg.jpg,insect,False,85.55%
image_00062_output.jpg.jpg,insect,False,75.54%
image_00067_output.jpg.jpg,insect,False,88.04%
image_00071_output.jpg.jpg,insect,False,77.76%
image_00073_output.jpg.jpg,insect,False,88.34%
image_00074_output.jpg.jpg,insect,False,88.90%
image_00078_output.jpg.jpg,insect,False,80.31%
image_00079_output.jpg.jpg,insect,False,86.59%
image_00083_output.jpg.jpg,insect,False,88.47%
image_00088_output.jpg.jpg,insect,False,87.30%
image_00090_output.jpg.jpg,insect,False,83.55%
image_00094_output.jpg.jpg,insect,False,86.00%
image_00100_output.jpg.jpg,insect,False,72.81%
image_00106_output.jpg.jpg,insect,False,88.38%
image_00108_output.jpg.jpg,insect,False,80.87%
image_00111_output.jpg.jpg,insect,False,79.84%
image_00114_output.jpg.jpg,insect,False,71.03%
image_00115_output.jpg.jpg,insect,False,85.45%
image_00119_output.jpg.jpg,insect,False,82.53%
image_00120_output.jpg.jpg,insect,False,61.04%
image_00121_output.jpg.jpg,insect,False,80.89%
image_00125_output.jpg.jpg,insect,False,85.66%
image_00134_output.jpg.jpg,insect,False,85.12%
image_00137_output.jpg.jpg,insect,False,85.39%
image_00144_output.jpg.jpg,insect,False,76.62%
image_00155_output.jpg.jpg,insect,False,85.89%
image_00156_output.jpg.jpg,insect,False,86.52%
image_00158_output.jpg.jpg,insect,False,85.98%
image_00162_output.jpg.jpg,insect,False,87.94%
image_00166_output.jpg.jpg,insect,False,88.82%
image_00170_output.jpg.jpg,insect,False,84.24%
image_00176_output.jpg.jpg,insect,False,88.30%
image_00182_output.jpg.jpg,insect,False,83.76%
image_00187_output.jpg.jpg,insect,False,83.68%
image_00189_output.jpg.jpg,insect,False,84.05%
image_00191_output.jpg.jpg,insect,False,78.93%
image_00192_output.jpg.jpg,insect,False,76.54%
image_00202_output.jpg.jpg,insect,False,77.11%
image_00205_output.jpg.jpg,insect,False,69.35%
image_00206_output.jpg.jpg,insect,False,70.90%
image_00208_output.jpg.jpg,insect,False,75.07%
image_00213_output.jpg.jpg,insect,False,85.87%
image_00217_output.jpg.jpg,insect,False,85.07%
image_00219_output.jpg.jpg,insect,False,77.98%
image_00220_output.jpg.jpg,insect,False,74.20%
image_00225_output.jpg.jpg,insect,False,78.38%
image_00228_output.jpg.jpg,insect,False,86.07%
image_00232_output.jpg.jpg,pest,True,54.78%
image_00233_output.jpg.jpg,insect,False,54.53%
image_00236_output.jpg.jpg,pest,True,49.76%
image_00239_output.jpg.jpg,insect,False,61.45%
image_00243_output.jpg.jpg,pest,True,58.74%
image_00245_output.jpg.jpg,pest,True,82.17%
image_00247_output.jpg.jpg,pest,True,79.30%
